Variable:,pr
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,15.47,16.36,34.37,85.58,203.37,212.07,218.31,259.58,267.29,167.85,83.43,28.06
1902,12.40,13.23,33.33,90.63,163.80,181.61,174.72,257.16,283.87,162.25,90.96,38.14
1903,14.13,12.55,22.11,56.78,202.98,242.61,192.12,266.78,252.73,157.60,62.42,43.30
1904,18.10,11.59,29.92,114.43,221.82,191.02,184.09,216.92,275.68,166.82,103.76,29.06
1905,14.93,11.21,53.41,76.35,222.27,213.56,229.14,251.60,268.28,154.76,84.40,28.82
1906,16.36,12.03,22.40,57.78,181.45,202.07,230.79,258.55,278.76,141.62,71.55,40.63
1907,28.92,10.47,88.26,59.07,217.42,207.34,185.23,208.83,215.44,184.05,101.86,37.25
1908,16.06,17.61,23.14,95.13,217.63,228.36,240.14,294.28,298.01,177.42,99.11,38.90
1909,28.72,15.50,28.67,71.38,186.94,189.33,226.13,304.72,266.11,157.87,118.77,20.87
1910,24.55,27.69,45.51,99.52,196.58,260.33,204.70,308.19,275.41,167.64,73.07,48.22
1911,32.86,12.34,21.94,94.14,161.94,215.02,145.19,152.38,283.99,158.56,49.96,35.49
1912,15.78,8.06,42.21,63.92,171.07,183.77,286.49,291.26,191.59,137.99,122.99,26.69
1913,26.95,23.33,11.73,51.01,225.94,182.07,216.46,246.97,225.81,135.52,132.73,45.53
1914,24.42,10.39,62.73,60.84,169.46,222.35,246.50,235.67,203.60,157.13,96.39,49.26
1915,6.52,3.24,30.66,92.42,174.53,221.44,183.75,237.79,279.10,276.20,101.59,31.25
1916,14.58,17.62,79.33,52.94,183.63,235.06,228.40,305.15,282.58,187.01,75.51,35.27
1917,12.60,4.86,29.90,26.63,128.98,257.45,203.61,315.29,322.37,240.11,76.59,51.25
1918,7.10,28.39,35.83,91.35,214.22,202.10,109.72,268.25,293.86,105.14,79.66,39.47
1919,10.63,38.11,36.68,80.00,197.07,203.23,259.95,213.11,177.41,98.07,73.39,38.75
1920,30.53,9.39,53.86,70.27,137.19,173.66,222.23,203.63,282.76,154.01,74.34,44.22
1921,37.99,22.58,61.84,69.50,207.20,151.57,251.59,244.64,343.53,101.20,32.11,20.41
1922,31.45,6.03,53.86,63.10,169.53,155.55,200.41,225.85,309.87,109.70,148.16,36.83
1923,27.30,17.99,58.98,123.53,196.20,264.75,175.71,219.18,190.21,206.07,79.12,25.54
1924,20.70,9.45,44.77,114.76,162.11,207.76,224.78,300.07,268.79,168.44,54.01,16.01
1925,17.35,11.93,38.27,125.46,140.78,215.16,191.45,271.23,231.22,133.21,81.56,32.40
1926,14.52,10.02,44.48,40.03,116.64,230.23,218.81,315.74,293.96,213.72,80.46,74.61
1927,22.97,43.80,32.66,143.52,248.67,220.39,251.84,192.48,217.44,179.33,44.64,20.01
1928,14.15,48.46,27.31,152.35,192.95,213.75,182.00,172.78,238.25,132.00,47.48,38.19
1929,9.91,25.74,60.80,106.51,159.04,192.97,207.58,225.96,223.17,136.71,44.97,14.68
1930,17.02,8.76,26.51,55.10,183.65,212.37,221.15,216.82,300.57,91.69,77.60,34.61
1931,8.72,23.59,20.64,69.53,118.16,210.70,209.79,258.59,282.59,156.04,37.21,42.03
1932,16.42,10.75,18.80,105.17,161.45,166.40,274.79,184.67,285.72,222.56,75.77,23.10
1933,13.17,21.55,13.74,78.46,160.08,178.85,316.11,234.36,288.18,141.73,81.01,28.32
1934,13.73,13.87,47.99,93.85,138.75,228.64,254.14,311.24,297.66,137.54,98.70,22.67
1935,37.19,36.12,35.05,94.93,215.93,201.00,241.29,215.22,317.54,225.26,81.58,58.26
1936,12.47,22.73,27.16,49.06,209.36,236.49,264.39,174.03,210.74,111.60,72.00,30.98
1937,10.45,32.63,30.37,104.46,208.47,150.57,247.91,246.79,275.18,121.15,86.32,34.41
1938,16.26,17.63,40.12,108.07,208.20,300.84,281.75,236.43,313.16,171.24,63.34,33.27
1939,16.14,22.14,39.20,91.98,173.12,198.65,170.73,267.60,287.79,118.89,112.75,34.86
1940,3.89,10.03,6.43,43.94,209.42,214.48,143.84,271.14,253.20,109.45,52.03,35.37
1941,13.87,20.52,33.14,77.77,231.46,191.75,157.74,255.41,228.36,194.29,69.95,41.76
1942,27.85,13.81,54.22,151.82,221.05,268.77,167.41,345.63,308.54,143.75,117.05,56.12
1943,7.41,22.26,63.60,126.45,193.38,176.55,203.41,258.08,305.56,88.53,87.73,25.24
1944,12.28,24.26,22.63,85.21,196.65,223.04,186.24,316.55,206.28,195.69,75.54,40.75
1945,29.37,45.56,25.72,112.29,181.83,296.71,236.45,251.24,275.44,101.76,58.46,47.99
1946,17.09,13.82,46.95,139.30,224.87,161.28,166.37,208.72,266.22,176.72,55.91,42.88
1947,28.81,22.91,49.81,158.14,157.58,215.24,205.36,305.30,218.51,123.13,40.78,38.85
1948,8.01,15.85,46.77,135.93,213.37,184.01,245.16,284.59,275.29,190.69,40.54,7.03
1949,16.21,24.50,28.60,129.64,187.94,129.44,275.95,299.77,305.53,184.21,114.81,29.41
1950,16.17,14.75,32.17,100.56,203.05,234.77,201.89,242.92,321.31,237.20,77.44,27.18
1951,30.27,10.95,38.35,79.64,218.05,218.98,299.84,209.69,314.14,234.99,89.16,33.82
1952,8.38,18.18,93.92,57.78,188.48,204.18,195.97,296.98,237.53,256.27,63.76,31.34
1953,59.03,50.42,43.08,109.55,212.57,266.12,250.29,218.22,278.45,165.35,110.94,26.94
1954,25.15,17.73,47.47,73.15,226.56,191.81,193.00,279.26,321.83,136.70,32.10,26.69
1955,17.50,12.16,40.10,110.55,175.94,292.95,194.54,256.25,260.05,120.71,92.36,16.53
1956,12.40,29.48,39.63,129.15,232.57,230.21,254.64,281.28,299.60,142.81,59.56,34.03
1957,10.47,16.57,74.82,84.81,126.23,216.08,222.16,249.46,313.93,184.76,49.64,24.19
