"Number of Population from Registration, Male, Famale and House by Region and Province: 2021-2022",,,,,,,,,
"Unit: Person , House",,,,,,,,,
,,,,,,,,,
Region,Province,2021,,,,2022,,,
,, Total , Male , Female , House , Total , Male , Female , House 
Whole Kingdom,    Whole Kingdom," 66,171,439 "," 32,339,118 "," 33,832,321 "," 27,708,635 "," 66,090,475 "," 32,270,615 "," 33,819,860 "," 28,188,470 "
Bangkok,Bangkok," 5,527,994 "," 2,592,292 "," 2,935,702 "," 3,147,231 "," 5,494,932 "," 2,571,974 "," 2,922,958 "," 3,197,865 "
Central Region,    Central Region," 17,314,234 "," 8,392,697 "," 8,921,537 "," 8,508,593 "," 17,339,238 "," 8,397,469 "," 8,941,769 "," 8,678,643 "
,Samut Prakan," 1,356,449 "," 645,884 "," 710,565 "," 733,185 "," 1,360,227 "," 646,798 "," 713,429 "," 750,422 "
,Nonthaburi," 1,288,637 "," 599,167 "," 689,470 "," 728,953 "," 1,295,916 "," 601,682 "," 694,234 "," 739,849 "
,Pathum Thani," 1,190,060 "," 563,851 "," 626,209 "," 660,020 "," 1,201,532 "," 568,877 "," 632,655 "," 677,046 "
,Phra Nakhon Si Ayutthaya," 820,512 "," 394,024 "," 426,488 "," 342,753 "," 820,417 "," 393,685 "," 426,732 "," 349,313 "
,Ang Thong," 274,763 "," 131,399 "," 143,364 "," 102,684 "," 272,587 "," 130,337 "," 142,250 "," 102,932 "
,Lop Buri," 739,473 "," 368,733 "," 370,740 "," 303,565 "," 735,293 "," 366,294 "," 368,999 "," 299,270 "
,Sing Buri," 204,526 "," 97,144 "," 107,382 "," 79,494 "," 202,797 "," 96,345 "," 106,452 "," 80,341 "
,Chai Nat," 320,432 "," 153,962 "," 166,470 "," 128,284 "," 318,308 "," 152,800 "," 165,508 "," 129,825 "
,Saraburi," 643,963 "," 316,201 "," 327,762 "," 288,275 "," 638,582 "," 313,213 "," 325,369 "," 294,429 "
,Chon Buri," 1,583,672 "," 772,463 "," 811,209 "," 1,092,000 "," 1,594,758 "," 777,220 "," 817,538 "," 1,118,807 "
,Rayong," 751,343 "," 368,992 "," 382,351 "," 524,479 "," 759,386 "," 372,863 "," 386,523 "," 541,063 "
,Chanthaburi," 536,557 "," 262,257 "," 274,300 "," 248,074 "," 536,144 "," 261,874 "," 274,270 "," 252,725 "
,Trat," 228,376 "," 112,941 "," 115,435 "," 109,890 "," 227,808 "," 112,668 "," 115,140 "," 111,480 "
,Chachoengsao," 724,178 "," 354,834 "," 369,344 "," 321,929 "," 726,687 "," 355,759 "," 370,928 "," 329,606 "
,Prachin Buri," 495,325 "," 244,642 "," 250,683 "," 225,949 "," 497,778 "," 245,884 "," 251,894 "," 232,139 "
,Nakhon Nayok," 260,433 "," 128,854 "," 131,579 "," 104,249 "," 260,406 "," 128,790 "," 131,616 "," 106,639 "
,Sa Kaeo," 561,992 "," 280,673 "," 281,319 "," 221,802 "," 562,816 "," 281,252 "," 281,564 "," 226,312 "
,Ratchaburi," 868,281 "," 421,921 "," 446,360 "," 332,214 "," 865,807 "," 420,322 "," 445,485 "," 338,676 "
,Kanchanaburi," 894,054 "," 448,312 "," 445,742 "," 353,679 "," 894,283 "," 448,109 "," 446,174 "," 359,348 "
,Suphan Buri," 835,360 "," 402,883 "," 432,477 "," 311,136 "," 830,695 "," 400,366 "," 430,329 "," 315,286 "
,Nakhon Pathom," 922,171 "," 442,800 "," 479,371 "," 417,915 "," 921,882 "," 442,350 "," 479,532 "," 426,205 "
,Samut Sakhon," 586,789 "," 282,683 "," 304,106 "," 302,618 "," 589,428 "," 283,474 "," 305,954 "," 309,823 "
,Samut Songkhram," 190,842 "," 91,101 "," 99,741 "," 73,940 "," 189,453 "," 90,381 "," 99,072 "," 75,048 "
,Phetchaburi," 482,875 "," 232,927 "," 249,948 "," 224,570 "," 482,950 "," 232,601 "," 250,349 "," 229,092 "
,Prachuap Khiri Khan," 553,171 "," 274,049 "," 279,122 "," 276,936 "," 553,298 "," 273,525 "," 279,773 "," 282,967 "
Northern Region,    Northern Region," 12,010,024 "," 5,871,707 "," 6,138,317 "," 4,964,044 "," 11,977,896 "," 5,849,580 "," 6,128,316 "," 5,033,502 "
,Chiang Mai," 1,789,385 "," 864,364 "," 925,021 "," 852,520 "," 1,792,474 "," 864,339 "," 928,135 "," 866,675 "
,Lamphun," 401,139 "," 192,712 "," 208,427 "," 185,253 "," 399,557 "," 191,596 "," 207,961 "," 188,061 "
,Lampang," 724,678 "," 352,894 "," 371,784 "," 298,848 "," 718,790 "," 349,574 "," 369,216 "," 302,165 "
,Uttaradit," 446,148 "," 217,413 "," 228,735 "," 174,440 "," 442,949 "," 215,648 "," 227,301 "," 175,738 "
,Phrae," 434,580 "," 209,403 "," 225,177 "," 180,833 "," 430,669 "," 207,174 "," 223,495 "," 182,675 "
,Nan," 475,875 "," 237,959 "," 237,916 "," 173,216 "," 474,539 "," 236,941 "," 237,598 "," 175,817 "
,Phayao," 464,505 "," 225,943 "," 238,562 "," 197,593 "," 461,431 "," 224,063 "," 237,368 "," 199,936 "
,Chiang Rai," 1,298,425 "," 630,868 "," 667,557 "," 569,461 "," 1,299,636 "," 630,619 "," 669,017 "," 579,417 "
,Mae Hong Son," 285,916 "," 144,811 "," 141,105 "," 117,497 "," 286,786 "," 145,194 "," 141,592 "," 119,841 "
,Nakhon Sawan," 1,035,028 "," 504,657 "," 530,371 "," 426,048 "," 1,028,814 "," 501,235 "," 527,579 "," 429,988 "
,Uthai Thani," 325,116 "," 158,926 "," 166,190 "," 127,506 "," 323,860 "," 158,139 "," 165,721 "," 129,514 "
,Kamphaeng Phet," 712,143 "," 351,539 "," 360,604 "," 281,829 "," 708,775 "," 349,696 "," 359,079 "," 285,190 "
,Tak," 676,583 "," 341,966 "," 334,617 "," 228,736 "," 684,140 "," 345,732 "," 338,408 "," 233,293 "
,Sukhothai," 585,352 "," 283,429 "," 301,923 "," 222,630 "," 581,652 "," 281,413 "," 300,239 "," 224,948 "
,Phitsanulok," 847,384 "," 414,577 "," 432,807 "," 358,036 "," 844,494 "," 412,742 "," 431,752 "," 363,476 "
,Phichit," 529,395 "," 258,012 "," 271,383 "," 200,600 "," 525,944 "," 256,341 "," 269,603 "," 202,835 "
,Phetchabun," 978,372 "," 482,234 "," 496,138 "," 368,998 "," 973,386 "," 479,134 "," 494,252 "," 373,933 "
Northeastern Region,    Northeastern Region," 21,826,920 "," 10,814,540 "," 11,012,380 "," 7,339,935 "," 21,781,418 "," 10,782,912 "," 10,998,506 "," 7,470,134 "
,Nakhon Ratchasima," 2,634,154 "," 1,293,783 "," 1,340,371 "," 1,024,002 "," 2,630,058 "," 1,290,253 "," 1,339,805 "," 1,044,524 "
,Buri Ram," 1,579,805 "," 783,531 "," 796,274 "," 483,349 "," 1,576,915 "," 781,530 "," 795,385 "," 490,644 "
,Surin," 1,376,230 "," 684,354 "," 691,876 "," 410,088 "," 1,372,910 "," 682,371 "," 690,539 "," 415,987 "
,Si Sa Ket," 1,457,556 "," 725,426 "," 732,130 "," 405,275 "," 1,454,730 "," 723,755 "," 730,975 "," 410,815 "
,Ubon Ratchathani," 1,868,519 "," 932,466 "," 936,053 "," 629,504 "," 1,869,806 "," 932,120 "," 937,686 "," 642,015 "
,Yasothon," 533,394 "," 265,945 "," 267,449 "," 179,229 "," 531,599 "," 264,756 "," 266,843 "," 183,618 "
,Chaiyaphum," 1,122,265 "," 554,299 "," 567,966 "," 406,943 "," 1,117,925 "," 551,407 "," 566,518 "," 413,107 "
,Amnat Charoen," 376,350 "," 187,122 "," 189,228 "," 122,801 "," 375,382 "," 186,594 "," 188,788 "," 125,118 "
,Bueng Kan," 421,995 "," 211,494 "," 210,501 "," 140,512 "," 421,684 "," 211,158 "," 210,526 "," 143,368 "
,Nong Bua Lam Phu," 509,001 "," 253,757 "," 255,244 "," 154,912 "," 508,325 "," 253,342 "," 254,983 "," 157,566 "
,Khon Kaen ," 1,790,863 "," 879,849 "," 911,014 "," 654,344 "," 1,784,641 "," 876,082 "," 908,559 "," 668,539 "
,Udon Thani," 1,566,510 "," 775,357 "," 791,153 "," 538,277 "," 1,563,048 "," 772,344 "," 790,704 "," 548,525 "
,Loei," 638,732 "," 319,949 "," 318,783 "," 230,763 "," 637,341 "," 319,099 "," 318,242 "," 234,063 "
,Nong Khai," 516,843 "," 256,268 "," 260,575 "," 181,752 "," 515,795 "," 255,393 "," 260,402 "," 184,909 "
,Maha Sarakham," 948,310 "," 464,976 "," 483,334 "," 308,947 "," 944,605 "," 462,896 "," 481,709 "," 313,596 "
,Roi Et," 1,296,013 "," 641,883 "," 654,130 "," 400,811 "," 1,291,131 "," 639,009 "," 652,122 "," 407,315 "
,Kalasin," 975,570 "," 481,988 "," 493,582 "," 316,604 "," 972,101 "," 479,874 "," 492,227 "," 322,190 "
,Sakon Nakhon," 1,146,286 "," 569,364 "," 576,922 "," 396,177 "," 1,145,187 "," 568,553 "," 576,634 "," 402,016 "
,Nakhon Phanom," 717,040 "," 357,096 "," 359,944 "," 235,673 "," 716,647 "," 356,834 "," 359,813 "," 239,861 "
,Mukdahan," 351,484 "," 175,633 "," 175,851 "," 119,972 "," 351,588 "," 175,542 "," 176,046 "," 122,358 "
Southern Region,Southern Region," 9,492,267 "," 4,667,882 "," 4,824,385 "," 3,748,832 "," 9,496,991 "," 4,668,680 "," 4,828,311 "," 3,208,389 "
,Nakhon Si Thammarat," 1,549,344 "," 764,471 "," 784,873 "," 590,976 "," 1,545,147 "," 762,647 "," 782,500 "," 599,937 "
,Krabi," 479,351 "," 238,092 "," 241,259 "," 197,381 "," 480,057 "," 238,455 "," 241,602 "," 201,080 "
,Phangnga," 268,016 "," 133,785 "," 134,231 "," 120,551 "," 267,442 "," 133,459 "," 133,983 "," 122,210 "
,Phuket," 418,785 "," 197,874 "," 220,911 "," 277,112 "," 417,891 "," 197,101 "," 220,790 "," 281,204 "
,Surat Thani," 1,072,464 "," 527,349 "," 545,115 "," 521,265 "," 1,073,663 "," 527,555 "," 546,108 "," 530,712 "
,Ranong," 194,573 "," 98,136 "," 96,437 "," 94,295 "," 194,226 "," 97,803 "," 96,423 "," 95,752 "
,Chumphon," 509,479 "," 251,405 "," 258,074 "," 244,176 "," 509,385 "," 251,226 "," 258,159 "," 248,311 "
,Songkhla," 1,431,536 "," 697,256 "," 734,280 "," 562,422 "," 1,431,063 "," 696,482 "," 734,581 "," 572,645 "
,Satun ," 324,835 "," 161,640 "," 163,195 "," 107,562 "," 325,303 "," 161,878 "," 163,425 "," 109,030 "
,Trang," 639,788 "," 312,693 "," 327,095 "," 237,935 "," 638,206 "," 311,849 "," 326,357 "," 241,159 "
,Phattalung," 522,541 "," 254,425 "," 268,116 "," 199,687 "," 521,619 "," 253,817 "," 267,802 "," 202,367 "
,Pattani," 729,581 "," 360,348 "," 369,233 "," 199,103 "," 732,955 "," 362,263 "," 370,692 "," 201,433 "
,Yala," 542,314 "," 269,907 "," 272,407 "," 173,226 "," 545,913 "," 271,480 "," 274,433 "," 175,981 "
,Narathiwat," 809,660 "," 400,501 "," 409,159 "," 223,141 "," 814,121 "," 402,665 "," 411,456 "," 226,505 "
,,,,,,,,,
"Source: Department of Provincial Administration, Ministry of Interior",,,,,,,,,
