Variable:,tas
Country:,Thailand
,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.96,25.72,27.68,29.49,28.32,28.09,27.49,27.22,26.81,26.43,24.93,23.09
1902,22.72,23.32,27.80,29.28,28.45,28.45,27.92,27.43,26.76,26.73,25.04,24.19
1903,23.47,24.96,28.11,29.95,29.20,27.40,27.48,26.91,26.50,26.13,23.78,20.48
1904,21.48,23.82,27.34,28.27,28.39,27.72,27.50,27.62,27.27,26.88,24.20,22.12
1905,23.55,26.48,27.86,29.56,28.61,27.77,27.84,27.96,27.46,27.02,25.46,25.78
1906,25.08,26.77,27.86,30.40,29.91,28.29,28.02,27.86,27.74,26.47,24.26,23.37
1907,23.24,25.51,26.90,28.99,27.91,27.79,27.48,27.03,27.19,26.44,24.96,21.40
1908,23.15,24.99,27.47,29.40,28.20,27.72,27.46,27.05,27.02,26.58,23.68,22.85
1909,23.35,25.47,27.56,29.10,28.15,27.78,27.25,27.36,27.16,26.82,23.98,22.01
1910,23.64,24.51,26.56,28.68,28.34,27.74,27.71,27.43,26.48,26.31,24.67,21.70
1911,22.73,24.70,27.20,29.02,28.48,27.86,27.60,27.79,27.35,26.76,26.26,24.24
1912,23.33,25.50,28.19,29.43,29.40,28.29,27.27,26.80,26.83,26.15,23.60,22.76
1913,22.81,25.55,27.50,29.54,28.02,27.61,26.78,26.95,26.90,26.24,24.11,22.67
1914,22.09,25.57,27.50,29.21,29.16,27.61,27.08,26.78,26.85,26.19,25.07,23.56
1915,23.22,26.24,27.75,29.09,28.20,27.90,27.38,27.36,26.73,26.14,23.89,20.76
1916,21.71,24.83,27.70,29.19,28.33,27.39,27.47,27.05,26.78,25.96,23.54,21.74
1917,22.68,24.88,26.80,29.25,28.53,27.29,27.18,26.69,26.48,25.64,24.13,21.86
1918,23.01,23.72,26.92,28.26,27.60,27.61,27.91,27.18,27.33,26.58,25.46,24.03
1919,23.97,25.67,28.20,29.28,28.80,27.49,27.27,27.26,26.82,26.37,24.53,23.24
1920,22.21,25.12,27.78,28.92,28.63,27.80,27.34,27.37,27.00,25.94,25.07,23.14
1921,23.18,24.57,27.60,29.20,28.10,27.77,26.79,27.12,26.44,25.97,23.85,22.85
1922,23.78,25.85,26.99,28.89,28.83,27.89,26.89,27.04,27.06,26.27,24.06,22.31
1923,23.34,24.25,27.49,28.40,27.73,27.52,26.57,26.54,26.72,26.20,25.22,23.56
1924,23.83,25.27,27.90,28.80,28.63,27.70,26.60,27.05,26.84,25.77,25.33,21.75
1925,22.93,24.20,27.59,27.83,28.30,27.72,27.35,27.22,27.08,25.89,24.94,22.04
1926,23.75,25.31,27.38,29.49,29.28,27.92,27.47,26.94,27.20,26.00,24.83,23.30
1927,23.30,25.19,27.44,28.25,27.75,27.73,27.25,27.10,26.80,26.01,24.98,23.32
1928,24.83,24.98,27.70,28.77,28.35,27.32,27.28,27.17,27.00,25.45,24.27,23.67
1929,24.23,25.13,26.93,28.52,28.55,27.49,27.06,27.06,27.02,26.27,24.49,24.04
1930,23.19,25.09,26.74,28.91,28.33,27.80,27.27,26.96,27.15,26.40,25.08,23.64
1931,23.96,25.33,28.03,30.02,29.37,28.58,27.65,27.43,26.84,25.68,24.20,23.24
1932,22.66,24.90,27.21,29.16,29.46,28.19,27.42,27.80,26.99,26.30,25.54,22.31
1933,23.64,25.69,27.67,29.31,28.72,27.88,27.32,27.47,27.22,26.58,24.12,23.01
1934,22.92,24.77,27.31,28.82,29.26,28.02,27.33,27.16,27.31,26.15,25.01,21.63
1935,24.02,25.83,28.06,29.22,28.79,27.87,27.30,27.10,26.99,27.05,25.61,23.73
1936,22.76,24.77,27.12,29.33,28.84,27.61,27.25,27.15,26.85,25.62,25.15,24.64
